Number of Vehicles,Accident Date,Time (24hr),Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
1,Aug,2301,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Goods vehicle 3.5 tonnes mgw and under
2,Aug,1020,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1020,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1020,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Aug,1945,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Pedal cycle
1,Aug,2340,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Aug,2340,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Aug,2340,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Aug,1233,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Aug,1328,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 500cc
2,Aug,1415,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Aug,1415,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
1,Aug,1750,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 500cc
1,Aug,1750,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Motorcycle over 500cc
2,Aug,1805,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Aug,1805,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Aug,1805,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
4,Aug,1331,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,615,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Fatal,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
1,Sep,913,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Sep,1757,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,YOUNG,Car
1,Sep,1924,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
2,Sep,2033,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Motorcycle over 500cc
2,Sep,2055,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Sep,1520,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Minibus (8 � 16 passenger seats)
2,Sep,832,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
2,Sep,704,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,Sep,1130,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Sep,1735,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Sep,1813,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Sep,1800,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Pedal cycle
2,Sep,1830,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,1910,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Sep,1631,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Sep,1015,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Sep,1156,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Motorcycle over 50cc and up to 125cc
2,Sep,1223,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Sep,1223,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Sep,1223,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Sep,1223,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
1,Sep,1843,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,YOUNG,Car
2,Sep,1645,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
3,Sep,1654,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Sep,1834,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Sep,1910,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Sep,1910,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Sep,1910,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,YOUNG,Motorcycle over 50cc and up to 125cc
2,Sep,2353,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Sep,700,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 500cc
2,Sep,1356,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Sep,1545,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Pedal cycle
2,Sep,1505,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Sep,1750,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,2055,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Car
2,Sep,2200,Dry,Darkness: street lights present but unlit,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Car
2,Sep,2200,Dry,Darkness: street lights present but unlit,Fine without high winds,Passenger,Serious,Male,MIDDLE-AGED,Car
2,Sep,2200,Dry,Darkness: street lights present but unlit,Fine without high winds,Passenger,Serious,Male,MIDDLE-AGED,Car
2,Sep,2230,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,YOUNG,Car
2,Sep,2230,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
2,Sep,2230,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Car
2,Sep,2230,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Serious,Male,YOUNG,Car
2,Sep,720,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
2,Sep,1556,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Sep,2133,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
2,Sep,2200,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Sep,2200,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Sep,2200,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,2200,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Sep,2200,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Sep,2200,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Sep,645,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
3,Sep,1353,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Sep,1700,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
2,Sep,2025,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
1,Sep,1124,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Sep,1440,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,1440,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Car
2,Sep,1806,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,1806,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Sep,1806,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Sep,1806,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Sep,855,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Taxi/Private hire car
3,Sep,2020,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,Sep,820,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,Sep,1111,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Aug,1135,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Sep,1454,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Sep,1030,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Sep,2300,Dry,Darkness: no street lighting,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
1,Sep,2300,Dry,Darkness: no street lighting,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
3,Sep,125,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Sep,1259,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Sep,1710,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,1710,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Sep,1730,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,M/cycle 50cc and under
1,Sep,1805,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,YOUNG,Motorcycle over 50cc and up to 125cc
1,Sep,1700,Dry,Daylight: street lights present,Fine without high winds,Passenger,Serious,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
1,Sep,600,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Sep,600,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,MIDDLE-AGED,Car
1,Sep,718,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
2,Sep,816,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
1,Sep,1107,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,1120,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Sep,1120,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Sep,1100,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Sep,1341,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Pedal cycle
3,Sep,1527,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
1,Sep,1626,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Motorcycle over 500cc
2,Sep,1708,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Motorcycle over 500cc
3,Sep,1840,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
1,Sep,1920,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Agricultural vehicle (includes diggers etc.)
1,Sep,1920,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Agricultural vehicle (includes diggers etc.)
1,Sep,2330,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,MIDDLE-AGED,Car
1,Sep,200,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,MIDDLE-AGED,Car
1,Sep,741,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,1609,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Sep,1711,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Bus or coach (17 or more passenger seats)
2,Sep,1830,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,YOUNG,Pedal cycle
2,Sep,2038,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
3,Sep,2045,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
3,Sep,2045,Dry,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Female,SENIOR CITIZEN,Car
1,Sep,245,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
1,Sep,245,Dry,Darkness: street lights present and lit,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Sep,1034,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,1034,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Sep,1034,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,YOUNG,Car
2,Sep,1034,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
2,Sep,1034,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Male,YOUNG,Car
3,Sep,1045,Dry,Daylight: street lights present,Fine without high winds,Passenger,Slight,Female,SENIOR CITIZEN,Car
2,Sep,1448,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
2,Sep,1615,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 500cc
2,Sep,1839,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,1839,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Bus or coach (17 or more passenger seats)
2,Sep,1530,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,M/cycle 50cc and under
1,Sep,1706,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,YOUNG,Car
1,Sep,1825,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,SENIOR CITIZEN,Car
2,Sep,20,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Passenger,Slight,Female,MIDDLE-AGED,Car
2,Sep,52,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,405,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Car
2,Sep,405,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Sep,833,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
2,Sep,1515,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
1,Sep,1625,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Car
2,Sep,751,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Sep,841,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,YOUNG,Car
2,Sep,1044,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Pedal cycle
2,Sep,1510,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Male,SENIOR CITIZEN,Car
3,Sep,1730,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,MIDDLE-AGED,Motorcycle over 50cc and up to 125cc
2,Sep,1834,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Serious,Male,SENIOR CITIZEN,Pedal cycle
2,Sep,1135,Dry,Daylight: street lights present,Fine without high winds,Driver/Rider,Slight,Female,MIDDLE-AGED,Car
